FIRSTNAME,LASTNAME,EMAIL,STREET,HOUSENUMBER,ADDRESS_2,POSTCODE,CITY,COUNTRY,COUNTRY_ID,PHONE_COUNTRYCODE,TELEPHONE,CC_TYPE,CC_HOLDER,CC_NUMBER,EXPIREY_YEAR,EXPIREY_MONTH,CVV,INSTAGRAM,PROVINCE
#FIRSTNAME#,#LASTNAME#,schwab_daniel529@outlook.com,Rue Yves Le Caignard,33,,92250,La Garenne Colombes,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,blau_judith740@outlook.com,Rue Yves Le Caignard,13,,92700,Colombes,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,holzman.nancycp@outlook.com,Rue Yves Saudmont,74,,92000,Nanterre,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,laura.unger86@outlook.com,Rue Yves Saudmont,111,,92000,Nanterre,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,hochalberto399@outlook.com,Sente De L'Humanite,9,,78800,Houilles,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,alan1_traugott@outlook.com,Sente De L'egalite,1,,78800,Houilles,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,freeh_james8@outlook.com,Sente De La Croix Rouge,7,,95870,Bezons,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,allend_kappel@outlook.com,Sente Des Coquelicots,10,,95240,Cormeilles en Parisis,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,elizabethfuchsmbp@outlook.com,Sente Des Larris,6,,92400,Courbevoie,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,moellermelissa668@outlook.com,Sente Des Sorbiers,13,,92150,Suresnes,France,FR,+33,{telephone},,,,,,,,
#FIRSTNAME#,#LASTNAME#,glenda.kaiseryfu@outlook.com,Sortie P1 P2,49,,92800,Puteaux,France,FR,+33,{telephone},,,,,,,,
