FIRSTNAME,LASTNAME,EMAIL,STREET,HOUSENUMBER,ADDRESS_2,POSTCODE,CITY,COUNTRY,COUNTRY_ID,PHONE_COUNTRYCODE,TELEPHONE,CC_TYPE,CC_HOLDER,CC_NUMBER,EXPIREY_YEAR,EXPIREY_MONTH,CVV,INSTAGRAM,PROVINCE
#FIRSTNAME#,#LASTNAME#,VincentTartsah@web.de,Avenue Andre Prothin,15,,92400,Courbevoie,france,FR,+33,{telephone},,,,,,,,
ZOE,ARIA,{telephone}@blokceur.com,Avenue D'orgemont,210,,92700,Colombes,france,FR,+33,{telephone},,,,,,,,
Zaibel,Rashida,{telephone}@blokceur.com,Avenue Chausson,3,,92230,Gennevilliers,france,FR,+33,{telephone},,,,,,,,
Wommack,Elias,{telephone}@blokceur.com,Avenue D'argenteuil,6,,95100,Argenteuil,france,FR,+33,{telephone},,,,,,,,
Winnifred,Maclellan,WinnifredMaclellan@web.de,Avenue Albert De Mun,4,,75116,Paris,france,FR,+33,{telephone},,,,,,,,
John,Johny,neelgrev.y@gmail.com,Avenue de la garenne,478,,92255,Neuilly,france,FR,,,,,,,,,,
VICTORIA,ISABELLA,{telephone}@blokceur.com,Avenue D'argenteuil,4,,95100,Argenteuil,france,FR,+33,{telephone},,,,,,,,
Vergie,Serret,VergieSerret@web.de,Avenue Alexandre,24,,92000,Nanterre,france,FR,+33,{telephone},,,,,,,,
Vanita,Dephillips,VanitaDephillips@web.de,Avenue Anatole France,66,,92700,Colombes,france,FR,+33,{telephone},,,,,,,,
Trotter,Hollis,{telephone}@blokceur.com,Avenue Colombier Bernard,23,,92250,La Garenne Colombes,france,FR,+33,{telephone},,,,,,,,
Trace,Kymberly,{telephone}@blokceur.com,Avenue Baudelaire,6,,78500,Sartrouville,france,FR,+33,{telephone},,,,,,,,
Tourtillott,Marhta,{telephone}@blokceur.com,Avenue Charles De Gaulle,75,,92270,Bois Colombes,france,FR,+33,{telephone},,,,,,,,
Tatum,Goldie,TatumGoldie@web.de,Avenue Adrien Hebrard,11,,75016,Paris,france,FR,+33,{telephone},,,,,,,,
Tartsah,Vincent,{telephone}@blokceur.com,Avenue Courteline,9,,92700,Colombes,france,FR,+33,{telephone},,,,,,,,
Suri,Herman,{telephone}@blokceur.com,Avenue Barthelemy,8,,92270,Bois Colombes,france,FR,+33,{telephone},,,,,,,,
Sunny,Laureen,{telephone}@blokceur.com,Avenue Calmels,19,,92270,Bois Colombes,france,FR,+33,{telephone},,,,,,,,
Staberg,Carlita,{telephone}@blokceur.com,Avenue Conte,24,,92250,La Garenne Colombes,france,FR,+33,{telephone},,,,,,,,
Serret,Vergie,{telephone}@blokceur.com,Avenue Charles De Gaulle,131,,92200,Neuilly sur Seine,france,FR,+33,{telephone},,,,,,,,
SEBASTIAN,SAMANTHA,{telephone}@blokceur.com,Avenue De Charlebourg,12,,92250,La Garenne Colombes,france,FR,+33,{telephone},,,,,,,,
Schlobohm,Bo,{telephone}@blokceur.com,Avenue Camille Claudel,5,,95240,Cormeilles en Parisis,france,FR,+33,{telephone},,,,,,,,
SCARLETT,SOFIA,{telephone}@blokceur.com,Avenue D'argenteuil,158,,92600,Asnieres sur Seine,france,FR,+33,{telephone},,,,,,,,
Sari,Cardenas,SariCardenas@web.de,Avenue Allard,19,,92270,Bois Colombes,france,FR,+33,{telephone},,,,,,,,
Sarai,Burke,SaraiLangin@web.de,Allee Des Anemones,10,,95100,Argenteuil,france,FR,+33,{telephone},Visa,,4976530650187915,2023,05,033,,
SAMANTHA,EVELYN,{telephone}@blokceur.com,Avenue D'argenteuil,183,,92600,Asnieres sur Seine,france,FR,+33,{telephone},,,,,,,,
Ruis,Kiana,{telephone}@blokceur.com,Avenue Charles De Gaulle,211,,92200,Neuilly sur Seine,france,FR,+33,{telephone},,,,,,,,
